
date_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
tag: mobile2_emore_v1
pretrain: 
per_batch_size: 128
save: 1, max_steps: 350000, lr: 0.10000, verbose: 1000, margin_a: 1.00, margin_m: 0.30, margin_b: 0.20

version_se: 0
do_save: True
verbose: 1000
cutoff: 0
version_input: 1
rand_mirror: 1
emb_size: 512
ckpt: 1
tag: mobile2_emore_v1
num_layers: 2
use_deformable: 0
config_dir: /home/meiyiyang/Face/insightface/output/config
ctx_num: 4
do_save_threshold: 0.99
scale: 0.9993
data_dir: /home/meiyiyang/Face/insightface/datasets/faces_emore
network: m2
margin_s: 64.0
center_alpha: 0.5
version_act: prelu
result_dir: /home/meiyiyang/Face/insightface/output/result
beta_freeze: 0
lr: 0.1
triplet_bag_size: 3600
margin_m: 0.3
num_classes: 85742
end_epoch: 100000
margin_a: 1.0
triplet_max_ap: 0.0
lr_steps: 
log_dir: /home/meiyiyang/Face/insightface/output/log
last_epoch: 0
loss_type: 4
wd: 0.0005
power: 1.0
version_unit: 3
batch_size: 512
beta: 1000.0
mom: 0.9
margin_b: 0.2
triplet_alpha: 0.3
easy_margin: 0
version_output: E
image_channel: 3
gamma: 0.12
target: lfw,classify_megaface
image_w: 112
rescale_threshold: 0
images_per_identity: 0
prefix: /data/meiyi/models/mobile/model_mobile2_emore_v1_0/model_mobile2_emore_v1
fc7_wd_mult: 1.0
per_batch_size: 128
beta_min: 5.0
center_scale: 0.003
pretrained: 
fine_tune: 0
image_h: 112
max_steps: 350000
margin: 4
bn_mom: 0.9

20181026-181846	43000	43	0.1000	lfw	0.98383	0.00553	0.93933	0.01718	classify_megaface	0.86551	0.00000	0.00000	0.00000	
20181026-182920	44000	44	0.1000	lfw	0.98267	0.00735	0.92367	0.02331	classify_megaface	0.84697	0.00000	0.00000	0.00000	
20181026-184000	45000	45	0.1000	lfw	0.98367	0.00600	0.93367	0.01894	classify_megaface	0.86207	0.00000	0.00000	0.00000	
20181026-185046	46000	46	0.1000	lfw	0.98450	0.00472	0.91833	0.02104	classify_megaface	0.84637	0.00000	0.00000	0.00000	
20181026-190139	47000	47	0.1000	lfw	0.98317	0.00845	0.92100	0.02181	classify_megaface	0.84862	0.00000	0.00000	0.00000	
20181026-191230	48000	48	0.1000	lfw	0.98200	0.00636	0.92533	0.01514	classify_megaface	0.84559	0.00000	0.00000	0.00000	
20181026-192320	49000	49	0.1000	lfw	0.98267	0.00416	0.94200	0.01968	classify_megaface	0.85678	0.00000	0.00000	0.00000	
20181026-193408	50000	50	0.1000	lfw	0.98533	0.00531	0.95167	0.01493	classify_megaface	0.86260	0.00000	0.00000	0.00000	
20181026-194501	51000	51	0.1000	lfw	0.98333	0.00527	0.94400	0.01618	classify_megaface	0.86179	0.00000	0.00000	0.00000	
20181026-195557	52000	52	0.1000	lfw	0.98483	0.00669	0.95633	0.01567	classify_megaface	0.85850	0.00000	0.00000	0.00000	
20181026-200648	53000	53	0.1000	lfw	0.97917	0.00854	0.93000	0.02011	classify_megaface	0.84013	0.00000	0.00000	0.00000	
20181026-201738	54000	54	0.1000	lfw	0.98700	0.00562	0.93600	0.01954	classify_megaface	0.87190	0.00000	0.00000	0.00000	
20181026-202832	55000	55	0.1000	lfw	0.98300	0.00636	0.93233	0.01739	classify_megaface	0.85059	0.00000	0.00000	0.00000	
20181026-203923	56000	56	0.1000	lfw	0.98217	0.00624	0.93000	0.01862	classify_megaface	0.84448	0.00000	0.00000	0.00000	
20181026-205019	57000	57	0.1000	lfw	0.98017	0.00535	0.92400	0.01849	classify_megaface	0.82641	0.00000	0.00000	0.00000	
20181026-210109	58000	58	0.1000	lfw	0.98200	0.00865	0.93967	0.02036	classify_megaface	0.83862	0.00000	0.00000	0.00000	
